epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,9528.77,0.38174,0.23752,0.9186,0.98782,0.99894,0.995,0.93149,0.4053,0.20634,0.93999,3.4225e-05,3.4225e-05,3.4225e-05
112,9620.29,0.34355,0.2118,0.89698,0.9878,0.99796,0.995,0.93626,0.40014,0.20493,0.93764,3.11725e-05,3.11725e-05,3.11725e-05
113,9703.95,0.35198,0.20915,0.90961,0.98672,1,0.995,0.9288,0.4103,0.20185,0.94385,2.812e-05,2.812e-05,2.812e-05
114,9788.2,0.35067,0.21227,0.90698,0.98658,0.99972,0.995,0.93655,0.40005,0.20033,0.93605,2.50675e-05,2.50675e-05,2.50675e-05
115,9865.07,0.33063,0.20954,0.88949,0.98865,0.99977,0.995,0.93729,0.39874,0.19804,0.93621,2.2015e-05,2.2015e-05,2.2015e-05
116,9958.6,0.32733,0.20061,0.8737,0.98985,0.99756,0.995,0.93583,0.39376,0.19698,0.93248,1.89625e-05,1.89625e-05,1.89625e-05
117,10043.3,0.33271,0.2074,0.88968,0.98899,0.99825,0.995,0.93659,0.39615,0.19579,0.93589,1.591e-05,1.591e-05,1.591e-05
118,10132,0.32333,0.20083,0.89926,0.98715,0.99979,0.995,0.93544,0.39363,0.20083,0.93122,1.28575e-05,1.28575e-05,1.28575e-05
119,10209.1,0.31709,0.21194,0.88606,0.98881,0.99955,0.995,0.9355,0.39389,0.19581,0.93135,9.805e-06,9.805e-06,9.805e-06
120,10298.5,0.31925,0.20298,0.88419,0.98992,0.99942,0.995,0.93604,0.39591,0.19729,0.93042,6.7525e-06,6.7525e-06,6.7525e-06
